 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   1.10000 ,    -0.542833858121416E+01 ,    -0.115732760099911E+01 ,    -0.105957261978112E+01 ,     0.524721357755614E+00 ,    -0.594764846100867E+01 ,    -0.525963616947783E+01 ,    -0.162613585102143E-01 ,    -0.586677165256731E+01 ,    -0.288713583310814E+00 ,    -0.144580884079067E+01 , 
   1.12000 ,    -0.807841402790184E+01 ,     0.244902391413250E+01 ,     0.248580418005307E+01 ,     0.127145867620724E+01 ,    -0.924843726357577E+01 ,    -0.826425239657752E+01 ,    -0.121342470893225E+01 ,    -0.871049024457773E+01 ,    -0.161624365246187E+01 ,    -0.191479646127189E+01 , 
   1.14000 ,    -0.690442943198540E+01 ,     0.315901099943105E+01 ,     0.324225979558165E+01 ,     0.527841113914443E+00 ,    -0.775449413438827E+01 ,    -0.726693872282803E+01 ,    -0.850605355911372E+00 ,    -0.734325119079337E+01 ,    -0.122582116234970E+01 ,    -0.203606815531132E+01 , 
   1.16000 ,    -0.308636602273741E+01 ,    -0.176980643509935E-01 ,     0.111722845643303E+00 ,    -0.893422942561287E+00 ,    -0.291784186053358E+01 ,    -0.335316065580533E+01 ,     0.706089974676634E+00 ,    -0.301325724487757E+01 ,     0.466192030642651E+00 ,    -0.164081335399218E+01 , 
   1.18000 ,    -0.103108049797938E+01 ,    -0.342692708585164E+01 ,    -0.336659593306789E+01 ,    -0.133943759979342E+01 ,    -0.313389242908156E+00 ,    -0.110436607646371E+01 ,     0.166224088322321E+01 ,    -0.672544250601685E+00 ,     0.149620216200940E+01 ,    -0.117809192676411E+01 , 
   1.20000 ,    -0.331266185184641E+01 ,    -0.289789881789327E+01 ,    -0.300399522421021E+01 ,    -0.226094813096998E+00 ,    -0.318400675520759E+01 ,    -0.336753111388256E+01 ,     0.852858428999591E+00 ,    -0.327012924547953E+01 ,     0.609536701938780E+00 ,    -0.120566030079880E+01 , 
   1.22000 ,    -0.747814727116750E+01 ,     0.123411716240437E+01 ,     0.100114523849146E+01 ,     0.121595485964341E+01 ,    -0.835357028136960E+01 ,    -0.780811687939123E+01 ,    -0.849338318520494E+00 ,    -0.799681396569830E+01 ,    -0.123237777187724E+01 ,    -0.171821783718171E+01 , 
   1.24000 ,    -0.861507826041484E+01 ,     0.418835855383882E+01 ,     0.397220738448860E+01 ,     0.128651976165803E+01 ,    -0.949756916891330E+01 ,    -0.942169898787647E+01 ,    -0.145358879254743E+01 ,    -0.910367268238198E+01 ,    -0.188328189039934E+01 ,    -0.211530135326348E+01 , 
   1.26000 ,    -0.504094498688665E+01 ,     0.219685054269951E+01 ,     0.210284402268568E+01 ,    -0.206874243237764E+00 ,    -0.441049906793658E+01 ,    -0.639541723043415E+01 ,    -0.141086445756386E+00 ,    -0.449264517440408E+01 ,    -0.489316013811047E+00 ,    -0.189213964482344E+01 , 
   1.28000 ,    -0.614117098030672E+00 ,    -0.278461424571026E+01 ,    -0.277181619660053E+01 ,    -0.160950695432694E+01 ,     0.200222359226436E+01 ,    -0.257276019146972E+01 ,     0.167937432447622E+01 ,     0.139876105809806E+01 ,     0.141247575310395E+01 ,    -0.126858899917216E+01 , 
