 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   1.22000 ,    -0.735011293749682E+01 ,     0.114747906196444E+01 ,     0.840211122198122E+00 ,     0.114332911127204E+01 ,    -0.917414243576846E+01 ,    -0.684195813903053E+01 ,    -0.802455855388847E+00 ,    -0.858638071998213E+01 ,    -0.120742088887018E+01 ,    -0.169078829794325E+01 , 
   1.24000 ,    -0.860485416219359E+01 ,     0.428380577280122E+01 ,     0.402862069695630E+01 ,     0.124143530558329E+01 ,    -0.143000455767814E+02 ,    -0.478458441256378E+01 ,    -0.158300327595150E+01 ,    -0.139262055105449E+02 ,    -0.182547052893550E+01 ,    -0.208584868989077E+01 , 
   1.26000 ,    -0.513897704941118E+01 ,     0.234360886037992E+01 ,     0.234783533630373E+01 ,    -0.186595086029922E+00 ,    -0.106718453291806E+02 ,    -0.475443820662204E+00 ,    -0.401622905653732E+00 ,    -0.109175168244215E+02 ,    -0.362915739421974E+00 ,    -0.189706687908436E+01 , 
   1.28000 ,    -0.692137579539919E+00 ,    -0.277958052339617E+01 ,    -0.260443224796071E+01 ,    -0.156006019079546E+01 ,     0.168549986902368E-01 ,    -0.808828810701765E+00 ,     0.155005409464134E+01 ,    -0.451275726469215E+00 ,     0.149670975224415E+01 ,    -0.130227499775791E+01 , 
   1.30000 ,    -0.606054729313175E+00 ,    -0.507530152719063E+01 ,    -0.493087707722302E+01 ,    -0.121355801842808E+01 ,     0.951395228174792E+01 ,    -0.992000201398449E+01 ,     0.213116128452530E+01 ,     0.948690470818276E+01 ,     0.138503375125147E+01 ,    -0.100099991650636E+01 , 
   1.32000 ,    -0.555837386902171E+01 ,    -0.135844699510053E+01 ,    -0.127185180877920E+01 ,     0.640421480588494E+00 ,     0.113597888843892E+02 ,    -0.229878745336489E+02 ,     0.686444460063703E+00 ,     0.117841309793820E+02 ,    -0.951317678967434E+00 ,    -0.140004824238312E+01 , 
   1.34000 ,    -0.101457612069579E+02 ,     0.443709770956453E+01 ,     0.461733105280747E+01 ,     0.195790330291314E+01 ,     0.687874198729218E+01 ,    -0.289686928161783E+02 ,    -0.108583897624166E+01 ,     0.703122894140918E+01 ,    -0.307615723994022E+01 ,    -0.207217708590914E+01 , 
   1.36000 ,    -0.854908108400719E+01 ,     0.515311695422925E+01 ,     0.547560762309653E+01 ,     0.105233260073946E+01 ,     0.248132267375257E+01 ,    -0.209797231230343E+02 ,    -0.967230097245673E+00 ,     0.181723442926253E+01 ,    -0.240559124242046E+01 ,    -0.218304778215818E+01 , 
   1.38000 ,    -0.151034523750743E+01 ,    -0.115192066040190E+01 ,    -0.884142031618703E+00 ,    -0.136652282001778E+01 ,     0.168356091640044E+01 ,    -0.425108231193930E+01 ,     0.114321649274569E+01 ,     0.545453937293828E+00 ,     0.752493611311559E+00 ,    -0.148401207438599E+01 , 
   1.40000 ,     0.336646434070228E+01 ,    -0.781084013488907E+01 ,    -0.773633587069082E+01 ,    -0.264324014605247E+01 ,     0.120135537253302E+01 ,     0.729851850093760E+01 ,     0.279362367377349E+01 ,     0.268238828680593E+00 ,     0.310507964218582E+01 ,    -0.731177008266974E+00 , 
   1.42000 ,    -0.630132335128669E+00 ,    -0.617184941047438E+01 ,    -0.591423239495272E+01 ,    -0.923802425701416E+00 ,    -0.410141114910758E+01 ,     0.386413936716261E+01 ,     0.154792087800554E+01 ,    -0.507245810786353E+01 ,     0.170700684143043E+01 ,    -0.926957409014237E+00 , 
   1.44000 ,    -0.110186689641667E+02 ,     0.386989965295995E+01 ,     0.514626581845044E+01 ,     0.251695813915208E+01 ,    -0.128716648621089E+02 ,    -0.100605922963986E+02 ,    -0.196157969763865E+01 ,    -0.153172959966829E+02 ,    -0.254765988487958E+01 ,    -0.209748088668305E+01 , 
   1.46000 ,    -0.163932892803730E+02 ,     0.110858613463503E+02 ,     0.138717674475561E+02 ,     0.390579627392233E+01 ,    -0.155529700058519E+02 ,    -0.185853723336601E+02 ,    -0.387927658388982E+01 ,    -0.205978972728512E+02 ,    -0.505960880688723E+01 ,    -0.297102765109315E+01 , 
   1.48000 ,    -0.633100416633658E+01 ,     0.257128414425840E+01 ,     0.611788191262603E+01 ,     0.270660246344376E+00 ,    -0.275378226012159E+01 ,    -0.861954203898399E+01 ,    -0.512134810399619E+00 ,    -0.927971762975826E+01 ,    -0.159744624885138E+01 ,    -0.208888390318499E+01 , 
   1.50000 ,     0.179185092967097E+02 ,    -0.225724639626176E+02 ,    -0.202160215008889E+02 ,    -0.756897127673335E+01 ,     0.239228192149172E+02 ,     0.175611267270935E+02 ,     0.779018542588859E+01 ,     0.193646596400836E+02 ,     0.741314341358920E+01 ,     0.649601546806089E+00 , 
   1.52000 ,     0.424462563320224E+02 ,    -0.494689210952235E+02 ,    -0.501956404814421E+02 ,    -0.151645078682131E+02 ,     0.499598253383746E+02 ,     0.431922825066457E+02 ,     0.161394602109914E+02 ,     0.507463333727153E+02 ,     0.165856002704617E+02 ,     0.359842537196722E+01 , 
   1.54000 ,     0.511439033280679E+02 ,    -0.587863941294863E+02 ,    -0.628903426014201E+02 ,    -0.177480874721272E+02 ,     0.582473513765420E+02 ,     0.507199650590325E+02 ,     0.188222685047810E+02 ,     0.647813878172623E+02 ,     0.197814530134539E+02 ,     0.465931211702875E+01 , 
   1.56000 ,     0.385928191570899E+02 ,    -0.434077772752719E+02 ,    -0.491642726821093E+02 ,    -0.138590677759976E+02 ,     0.429564103602828E+02 ,     0.359648819598841E+02 ,     0.140139032656358E+02 ,     0.520539605005409E+02 ,     0.151009939313263E+02 ,     0.309847033722048E+01 , 
   1.58000 ,     0.140364223579462E+02 ,    -0.147847273909900E+02 ,    -0.196453976744151E+02 ,    -0.626639061960345E+01 ,     0.143957616934382E+02 ,     0.104723237529546E+02 ,     0.523827090300244E+01 ,     0.216835570376689E+02 ,     0.621669081534829E+01 ,     0.159323103849665E+00 , 
   1.60000 ,    -0.666896993346527E+01 ,     0.715569192250259E+01 ,     0.474060030030755E+01 ,     0.372842107466226E+00 ,    -0.950384055709350E+01 ,    -0.898899462955728E+01 ,    -0.168734453961869E+01 ,    -0.635011150009830E+01 ,    -0.943439071644479E+00 ,    -0.208994972490803E+01 , 
   1.62000 ,    -0.135086327342178E+02 ,     0.109535368868051E+02 ,     0.106635593007483E+02 ,     0.295634541255194E+01 ,    -0.172317831721666E+02 ,    -0.135745406979310E+02 ,    -0.335667133904488E+01 ,    -0.173106601468583E+02 ,    -0.296390210165174E+01 ,    -0.252592621396525E+01 , 
   1.64000 ,    -0.840953409618722E+01 ,     0.159872063876948E+01 ,     0.198045457520421E+01 ,     0.170756985105844E+01 ,    -0.109919691973707E+02 ,    -0.698129858783537E+01 ,    -0.947387026365882E+00 ,    -0.118241412716976E+02 ,    -0.972017550507339E+00 ,    -0.169107051007527E+01 , 
   1.66000 ,    -0.920966211938323E+00 ,    -0.691963177816562E+01 ,    -0.696783744249503E+01 ,    -0.769859516978204E+00 ,    -0.200474608857245E+01 ,     0.662129364722578E+00 ,     0.171329394870691E+01 ,    -0.205478684857499E+01 ,     0.138161887700152E+01 ,    -0.941722762516477E+00 , 
   1.68000 ,     0.114144999036884E+01 ,    -0.586099238380134E+01 ,    -0.631465453938360E+01 ,    -0.192701759610032E+01 ,     0.409595134429624E+00 ,     0.236914778969157E+01 ,     0.193322130493947E+01 ,     0.803924639198408E+00 ,     0.157356836846363E+01 ,    -0.105048573153827E+01 , 
   1.70000 ,    -0.264502425326945E+01 ,     0.147464705274055E+01 ,     0.125129194508234E+01 ,    -0.108273090397323E+01 ,    -0.428795904731823E+01 ,    -0.131668571326225E+01 ,     0.159333910639208E+00 ,    -0.451253086418517E+01 ,     0.114972400902360E-01 ,    -0.166795939493046E+01 , 
   1.72000 ,    -0.722820817456231E+01 ,     0.580289917318170E+01 ,     0.604242061801176E+01 ,     0.580909801721575E+00 ,    -0.997043518725673E+01 ,    -0.534014237794071E+01 ,    -0.128360635732346E+01 ,    -0.110491896807591E+02 ,    -0.122508636646850E+01 ,    -0.199026580404806E+01 , 
